Country,GDP,GDP YoY,GDP QoQ,Interest rate,Inflation rate,Jobless rate,Gov. Budget,Debt/GDP,Current Account,Currency,Population
Sierra Leone,4,-0.215,,0.11,0.1526,0.033,-0.031,0.3765,-33,7417,6.45
Togo,4,0.055,,0.045,-0.0009,0.069,-0.053,0.256,-11.2,612.59,7.31
Guyana,3,0.03,,0.05,0.008,0.21,-0.014,0.488,-4.6,206.49,0.74
Cayman Islands,3,0.03,,,0.005,0.056,0.042,0.185,-23.1,0.82,0.06
Burundi,3,-0.041,,0.0795,0.071,0.077,-0.091,0.152,-4.5,1678.28,11.18
Maldives,3,0.068,,0.07,0.012,0.116,-0.069,0.204,-8.8,15.36,0.35
Lesotho,2,0.034,,0.0664,0.057,0.253,0.005,0.573,-8.4,13.5,2.14
Liberia,2,0.003,,0.137,0.085,0.038,-0.121,0.24,-36.9,91,4.5
Cape Verde,2,0.035,0.045,0.075,-0.013,0.124,-0.041,1.23,-4.3,103.21,0.52
Central African Republic,2,0.049,,0.0245,0.3804,0.076,-0.033,0.4183,-11.5,611.86,4.9
Bhutan,2,0.055,,0.06,0.0282,0.026,-0.024,0.989,-30.2,67.95,0.78
Djibouti,2,0.067,,0.116,0.0365,0.54,-0.066,0.68,-16,176.4,0.89
East Timor,1,0.043,,,-0.008,0.11,-0.297,,8,,1.24
Guinea Bissau,1,0.052,,0.045,0.007,0.076,-0.023,0.322,1.5,,1.84
Gambia,1,0.047,,0.23,0.0743,0.298,-0.065,0.507,-20,42.95,1.99
Comoros,1,0.032,,0.0115,0.014,0.07,-0.022,0.254,-8.2,462,0.79
Seychelles,1,0.043,,0.1236,-0.002,0.042,0.012,0.6,-17,13.49,0.09
Sao Tome and Principe,0,0.053,,0.1,0.062,0.136,-0.053,0.861,-10.7,22910,0.19
